Province,Municipality,Barangay,Facility_Name,Facility_Type,Beds,Doctors_count,Nurses_count,Distance_to_Nearest_Hospital_km,Road_Condition,Public_Transport_Availability,Population,Median_Income_PHP,Year_Established,OpenHours,Contact_Info,GPS_lat,GPS_long,Notes
Cavite,General Trias,Poblacion,GT Health Center,Health Center,5,0,2,12 km , poor, no,180000,7000,2009,8:00-16:00,046-700-7000,14.3279,120.9192,"'no emergency services'; contact = missing extension"
Cavite,Silang,Poblacion,Silang Doctors' Clinic,Clinic,18,3,6,6km, Fair,Yes,190000,12000,2012,9AM-6PM,046-880-0000,14.2345,120.9652,"typo: 'Silang Doctors' Clinic' appears with and without apostrophe"
Laguna,San Pablo,Barangay-6,San Pablo Municipal Hospital,Hospital,95,9,30,0.6,Good,Yes,285000,10000,1982,24/7,049-562-1000,14.0850,121.3250,"duplicate? similar to other entry"
Laguna,San Pedro,San Vicente,San Pedro Clinic,Clinic,,2,7,3km,good,Yes,286000,15000,2011,8am-8pm,049-555-3333,14.3388,121.0598,"Beds missing (empty); population inconsistent"
Batangas,Nasugbu,Poblacion,Nasugbu RHU,Health Center,11,1,4,25,Poor,No,179000,6500,1998,8-17,043-560-1212,14.1087,120.6797,"Distance in km but no units in other rows"
Batangas,Calaca,Poblacion,Calaca Health Hub,Clinic,22,3,10,20.5,very poor,Limited,120000,9000,2006,9am-6pm,043-561-0001,14.0044,120.8091,"Note contains comma and semicolon; 'very poor' road"
Rizal,Rodriguez (Montalban),San Jose,Montalban General,Hospital,60,6,20,0.7, Fair , Yes ,420000,9000,1994,24/7,02-567-9999,14.6503,121.1505,"Municipality name contains parentheses"
Rizal,Baras,Poblacion,Baras Rural Clinic,Clinic,4,0,2,35km,Very poor,no,25000,4000,2014,8-12;13-17,N/A,14.5200,121.2900,"open hours split with semicolon; phone N/A"
Quezon,Lucena City,Palasan,Lucena Community Clinic,Clinic,20,2,8, 0.8 ,Good,Yes,266248,15000,2001,8-5,042-710-2100,13.9514,121.6159,"note: duplicate/near-duplicate of regional hospital; messy"
Quezon,Atimonan,Poblacion,Atimonan Health Center,Health Center,7,1,3,55.0,poor,no,85000,5000,2007,8-12,042-742-0022,13.9828,121.7693,"very remote, distance big"
Quezon,Mauban,Poblacion,Mauban District Hospital,Hospital,90,8,28,0.6,Fair,Yes,140000,10500,1996,24/7,042-770-3000,14.0798,121.9385,"notes: sometimes bed count reported as 'about 90' in other files"
Cavite,General Mariano Alvarez,Poblacion,GMA Health Post,Health Center,3,0,1,10km, poor ,No,240000,5000,2018,07:30-16:30,046-990-0000,14.3541,121.0416,"new post; staff = volunteer"
Laguna,Pagsanjan,Poblacion,Pagsanjan RHU,Health Center,16,2,6,18, fair,limited,50000,6000,1990,8-17,049-570-1111,14.3271,121.4223,"'limited' public transport"
Batangas,Calatagan,Poblacion,Calatagan Clinic,Clinic,8,1,2,40 km,very poor,no,65000,5500,2012,9-16,043-123-9876,13.9621,120.5296,"coastal, access sometimes by ferry"
Laguna,Biñan,Sampaguita,Biñan Medical Center,Hospital,160,16,60,0.5,Good,Yes,370000,21000,2003,24/7,049-541-1111,14.3283,121.0876,"big private hospital; sample duplicate variations exist"
Rizal,Teresa,Poblacion,Teresa RHU,Health Center,9,1,4,6.5, Fair , yes ,85000,7000,2000,8-17,02-888-3333,14.4652,121.1299,"note: phone area code vs mobile differences"
Quezon,Infanta,Poblacion,Infanta District Hospital,Hospital,100,9,35,0.6,Good,Yes,120000,9500,1988,24/7,042-600-4444,14.6572,121.6086,"coastal town, monitors typhoon impact"
Batangas,San Juan,Poblacion,San Juan Clinic,Clinic,14,2,5,10.0,poor,Limited,50000,7000,2010,9-5pm,043-722-3333,13.8896,121.4292,"sometimes listed as 'San Juan, Batangas' or 'San Juan' only"
