Province,Municipality,Barangay,Facility_Name,Facility_Type,Beds,Doctors_count,Nurses_count,Distance_to_Nearest_Hospital_km,Road_Condition,Public_Transport_Availability,Population,Median_Income_PHP,Year_Established,OpenHours,Contact_Info,GPS_lat,GPS_long,Notes
Cavite,Amadeo,Poblacion,Amadeo Rural Clinic,Clinic,6,0,3,22,poor,no,33000,4500,2016,9-5,046-800-1010,14.1960,120.8650,"small barangay clinic; volunteer nurse only"
Cavite,Alfonso,Poblacion,Alfonso Health Post,Health Center,2,0,1,18km,very poor,no,56000,4000,2019,08:00-16:00,unknown,14.2199,120.9645,"contact unknown; 'very poor' repeated"
Laguna,Victoria,Barangay 3,Victoria Medical Center,Clinic,34,4,15,12.4, Fair , yes ,45000,10000,2004,24H,049-789-2000,14.3001,121.3149,"open 24H but staff limited at night"
Laguna,Calauan,Poblacion,Calauan RHU,Health Center,11,1,4,15km,poor,limited,62000,7000,1993,8-16,049-567-2222,14.1523,121.2869,"note: some rows use km, some use 'kms', some blank"
Batangas,Ibaan,Poblacion,Ibaan Community Clinic,Clinic,7,1,3,35 km, poor ,no, 80000,6500,2010,8-5,043-234-5555,13.8653,121.2140,"typo in population field sometimes as '80,000 '"
Batangas,San Nicolas,Santo Domingo,San Nicolas Health Center,Health Center,9,0,4,45 km,very poor,no,21000,4200,2007,9-3,043-333-2222,13.7400,121.1305,"extreme rural; mentions barangay midwife"
Rizal,Angono,Binangonan,Angono Clinic,Clinic,12,1,5,2.4,Good,Yes,120000,9500,2000,9-17,02-999-1234,14.5236,121.1100,"note: municipality mismatched with barangay in some rows"
Quezon,Real,Poblacion,Real Health Post,Health Center,3,0,2,80.0,Very poor,no,23000,3500,2016,8-12,042-741-0000,14.4370,122.1800,"extreme distance; boat access in some cases"
Quezon,Lopez,Poblacion,Lopez Municipal Hospital,Hospital,70,6,22,1.1,Fair,Yes,98000,8200,1991,24/7,042-765-9000,13.9826,121.5182,"typhoon prone area; sometimes power outages"
Cavite,Maragondon,Poblacion,Maragondon RHU,Health Center,10,1,3,55,very poor,no,42000,4600,1995,8-17,046-701-2345,14.1968,120.7432,"distance huge; road narrow"
Laguna,Liliw,Bucal,Liliw Community Clinic,Clinic,5,1,2,28, poor ,No,38000,4800,2017,9-4,049-700-4000,14.1947,121.3146,"notes: 'popular for footwear' unrelated field present"
Batangas,Agoncillo,Poblacion,Agoncillo Health Center,Health Center,10,1,4,32,poor,no,41000,5000,2005,8-16,043-765-0011,13.8131,121.0100,"'Agoncillo' appears spelled differently in other files"
Rizal,Cardona,Poblacion,Cardona Clinic,Clinic,6,0,3,18,poor,Limited,60000,5000,2013,8-12,02-888-4444,14.4085,121.1777,"notes: 'staff rotating' and 'call ahead recommended'"
Quezon,Polillo,Poblacion,Polillo Island Clinic,Clinic,4,0,2,145,very poor,None,30300,3100,2018,9-12,N/A,14.6590,121.9990,"island municipality; ferry required; emergency medevac issues"
Quezon,Tagkawayan,Poblacion,Tagkawayan RHU,Health Center,18,2,7,5, Fair ,Yes, 110000,7500,1990,8-17,042-777-8888,13.9732,121.7201,"border with Quezon/Bicol; mixed records"
Laguna,Victoria,Laurel,Victoria Small Clinic,Clinic,2,0,1,9,poor,No,48000,4800,2020,8-16,049-789-9999,14.3010,121.3160,"recently established; missing doctor"
Batangas,San Jose,Balintawak,San Jose Rural Clinic,Clinic,9,1,4,29.6,poor,No,45000,5600,2000,9-5,043-333-0000,13.8762,121.0588,"field 'Balintawak' sometimes omitted"
Cavite,Indang,Poblacion,Indang Health Post,Health Center,3,0,2,22,poor,no,95000,5600,2014,8-5,046-540-1000,14.1267,120.8702,"typos e.g., double spaces, mixed case in column names"
