id,province,municipality,population,population_note,num_health_facilities,health_workers_count,avg_distance_to_nearest_hospital_km,num_beds,poverty_rate_pct,access_to_transport_pct,internet_coverage_pct,has_emergency_services,dominant_language,coordinates,phone_number,facility_types,reported_by,date_reported,data_source,notes
1,Cavite,Trece Martires,200000,est 2019,12,240,8.5,520,8.2,78,65,Yes,Tagalog,"14.2845,120.9368","+63 46 123 4567","hospital;RHUs;Barangay Clinic","Dr. L. Cruz",2025-11-20,https://prov-cavite.gov/report1,"All good"
2,Cavite,Imus,450000,approx,25,560,2.1,1200,6.5,92,89,TRUE,Tagalog,"14.4090,120.9369","(046)123-89-00","hospital,private clinic, barangay health","maria.gomez@mun.gov",20 Nov 2025,ftp://data.cavite/health,"note: some beds reported twice"
3,Cavite,Bacoor,600000,POP2018=610k,30,680,1.2,1500,7.1,95,80,1,Tagalog,"14.4363; 120.9648","+63461234567","Private Hospital;RHU","John R","11/20/2025",http://bacoor.gov.ph/health,"phone no country code, duplicate facility rows?"
4,Cavite,Kawit,90000,,5,110,4 km,80,12,60,45,yes,Tagalog,"14.4059,120.8894","046 987 6543","RHU;Barangay Health Center","anonymous",2025/11/20,, "avg_distance has unit 'km'"
5,Cavite,Naic,80000,typo pop: 80k,4,85,9.0,60,20.5,45,23,no,tagalog,"14.275,120.640","046-3333333","rhu;BHc","R. Santos","20-11-2025",https://naic.gov/data,"poverty rate maybe per household"
6,Cavite,Tagaytay,68000,"tourist city",8,200,3.5,300,5.0,88,92,yes,Tagalog,"14.1164,120.9410","+63-46-555-000","private hospital;clinic","Dr. Y",Nov 20 2025,https://tagaytay.gov,"note: high bed counts from resorts included"
7,Laguna,Calamba,520000,est.,18,450,2.0,900,9.0,82,70,Yes,Tagalog,"14.2116,121.1657","+63 49 555 6789","hospital;specialty clinic","N. Perez",2025.11.20,https://laguna.gov.ph/ds,"some missing worker counts in source"
8,Laguna,Sta. Rosa,400000,aprox,12,300,1.3,600,6.4,90,88,TRUE,Tagalog,"14.2914 121.1114","049-555-1111","private hospital,RHU","health_dept@starosa.ph",11/20/2025,https://starosa.ph,"multiple separators in facility_types field"
9,Laguna,Los Baños,110000,,6,130,15.0,120,18.0,58,65,No,Tagalog,"14.1700,121.2440","(049) 536-0000","RHU;University Clinic","L. Alcaraz",20 Nov 2025,https://lnu.edu/health,"avg_distance unusually high"
10,Laguna,San Pablo,280000,est 2020,10,260,5,500,14.3,73,55,yes,Tagalog,"14.0833,121.3250","+63 49 555 2222","hospital;RHUs","reporter@mun.gov.ph",2025-11-20,https://sanpablo.gov,"internet_coverage may be estimated"
11,Laguna,Cabuyao,330000,,9,210,2.4,360,10.0,88,72,TRUE,Tagalog,"14.2078;121.1335","0495553333","clinic;hospital","Maricel",2025/11/20,https://cabuyao.gov.ph,""
12,Laguna,Paete,23000,,1,12,20 km,8,35.0,20,12,NO,Tagalog,"14.320,121.510","n/a","barangay clinic","",2025-11-20,http://local,"very remote village, coords approximate"
