X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
120.590634537907,15.3343079233724,"1667300362",node,15.625,pharmacy,pharmacy,Vincarlo Pharma Drugstore,,,,,,,,,,,yes,,,,,,,,,,,,,106987851,4,2021/06/26 00:51:51+00,6698fbe400804c4e9617a4c575d5517f
123.805240250065,10.2510233671717,"11469041173",node,18.75,pharmacy,pharmacy,Rose Pharmacy,,,,,,,,,,,yes,,,,,,,,,,Cebu South Road,,,162764988,3,2025/02/21 05:24:35+00,169533ad2ab44985a112d95bf9a5b96a
123.817510266663,10.2579437178888,"4631944097",node,25,pharmacy,pharmacy,Rose Pharmacy,,,,,,,,,,,yes,,,,,,,,,,Natalio Bacalso Avenue,"6045",Talisay,162765518,4,2025/02/21 05:54:54+00,3e9003b0ce024d798df9391b36578eaf
123.841216635771,10.2632972394457,"4047131089",node,12.5,doctors,,,"Rodolfo Saavedra, M.D.",,,,,,,,,,,,,,,,,,,,,,Talisay,162765843,2,2025/02/21 06:11:09+00,add4094db1b6461a9239bc0f7bb89905
123.843180850961,10.2677831502052,"9849381766",node,18.75,pharmacy,pharmacy,Southstar Drug,,,,,,,,,,,yes,,,,,,,,,,Natalio Bacalso Avenue,,,162766166,2,2025/02/21 06:25:56+00,174b9838cf8241e184652fccd246dccc
123.855602580007,10.2792118751822,"4340940589",node,18.75,doctors,,Pardo Health Center,,,,,,,,,,,,,,,,,,,,,Natalio Bacalso Avenue,,Cebu City,162768675,3,2025/02/21 08:08:11+00,b915f11133a94a9f9ecfcecd0577ebc3
122.542120717972,10.7187110169342,"8345260764",node,18.75,doctors,doctor,,Western Visayas Medical Center,,,government,,,,,,,,,,,,,,,,,,,,162783984,2,2025/02/21 14:50:17+00,12730382d1ac450cbb7e894b3945c513
121.673203684691,16.703510163134,"4230698389",node,15.625,clinic,,Tupong Maternity & Pediatric Clinic,,,,,,,,,,,,,,,,,,,,,Atip Street,"3309",,162792222,2,2025/02/21 18:27:11+00,f720d5eeb43546f890c36d50c20abbdb
121.545981146666,16.6901387644583,"7555387918",node,9.375,dentist,,,,,,,,,,,,,,,,,,,,,,,R. C. Miranda Road,,,162793122,3,2025/02/21 18:58:16+00,406c0e642df447f089e9e61688a53b6c
123.809112437874,10.2539908961712,"11468761169",node,18.75,pharmacy,pharmacy,Mercury Drug,,,,,,,,,,,yes,,,,,,,,,,Natalio Bacalso Avenue,,,162803292,3,2025/02/22 04:47:53+00,c498fa045bf94defa243e11eea50e9a2
123.811261390209,10.2561568637703,"1558806695",node,21.875,pharmacy,pharmacy,Rose Pharmacy,,,,,,,,,,,yes,,,,,,,,,,Natalio Bacalso Avenue,"6046",,162803422,5,2025/02/22 05:00:43+00,a077a55c6e6140dcbace14a8ed3f63f3
,,"397026077",way,9.375,hospital,,Mabini General Hospital,,,,,,,,,,,,,,,,,,,,,,,,37117950,1,2016/02/10 06:57:46+00,b4fb725ac3f643c99284d1d3a1667b6b
,,"397040242",way,21.875,hospital,,Our Lady of Mercy General Hosptal,,GPS,,,,,,,,,,,,,,,,,,,Doña Remedios Trinidad Highway,"3005",Pulilan,50131022,2,2017/07/08 12:49:24+00,2d25fb98bd2e4559bffab2468320fc1e
,,"397043179",way,12.5,clinic,clinic,Medical Specialty Clinic,,,,,,,,,,,,,,,,,,,,,,,,148093290,3,2024/03/01 11:56:22+00,e09ff49169f94f03984279f806b85aec
,,"397191150",way,18.75,pharmacy,pharmacy,Botika ng Barangay,Barangay Libertad,,,public,,,,,,,,,,,,,,,,,,,,147875912,4,2024/02/25 01:58:09+00,eaa9253d3b594e93a735d7f64946b220
,,"397263172",way,28.125,clinic,clinic,Bantayan First Aid Station,LGU Bantayan,,,government,,,,,,,,,,,,,,,,,R. Arcenas Street,"6052",Bantayan,133678830,4,2023/03/14 17:59:50+00,8812d429384e4896971fa1eaed845b32
,,"397263185",way,25,doctors,doctor,Bantayan Rural Health Unit № 1,LGU Bantayan,,,,,,,,,,,,,,,,,,,,Rizal Avenue,"6052",Bantayan,134215076,6,2023/03/28 10:59:25+00,d089bd92f6cd404b84a1dc771d81de7e
123.306521621287,9.30930849900028,"12609051791",node,12.5,,optometrist,Acebedo Optical,,,,,,,,,,,,,,,,,,,,,San Juan Street,,,162857685,2,2025/02/23 15:40:12+00,a63841b88da84c019af4f194889016d2
121.04484635048,14.5501453422207,"1669881511",node,21.875,pharmacy,pharmacy,Watsons,,,,,,,,,,,,,,,,,,,,,Rizal Drive,"1635",Taguig,133609641,3,2023/03/13 05:47:44+00,166b4c4ba32f4bb791ad7de14a9328d6
123.795348682311,10.2450796758123,"1557274552",node,25,pharmacy,pharmacy,La Nueva Pharmacy,La Nueva Supermart,,,,,Mo-Su 09:00-20:00,,,,,,,,,,,,,,,Natalio Bacalso Avenue,"6046",,162912998,4,2025/02/25 00:38:48+00,d4fe7266664d4b4e8a9857278a726fd9
123.79823138645,10.2453049813696,"475925204",node,21.875,pharmacy,pharmacy,TGP,,,,,,Mo-Su 06:00-22:00,,,,,,,,,,,,,,,Natalio Bacalso Avenue,"6047",,162913731,5,2025/02/25 01:40:14+00,5efb607bb31b460ca930528f55ec7db4
124.473547830276,10.0449370947493,"12617075856",node,12.5,hospital,hospital,Don Emilio OPD Station,,,,,,,,,,,,,,,,,,,,,,,,162914956,1,2025/02/25 03:09:04+00,6a1ecc9de7174e248db17ce581a8482f
124.474475539319,10.0445472524327,"12617320946",node,12.5,hospital,hospital,Don Emilio Del Valle Memorial Hospital,,,,,,,,,,,,,,,,,,,,,,,,162915006,1,2025/02/25 03:12:21+00,869228654689448cbc86280f377c81f5
125.624176270629,7.08182954912232,"12620037501",node,9.375,dentist,,Erning Dental Laboratory,,,,,,,,,,,,,,,,,,,,,,,,162958022,1,2025/02/26 06:15:16+00,9299219e2f5f4856b1ffb811dc130989
124.538507328414,7.19922824517022,"4414094292",node,9.375,clinic,,SCC Clinic,,,,,,,,,,,,,,,,,,,,,,,,162995600,2,2025/02/27 03:13:13+00,ea299315d6ba449181b7bf8db978d712
125.894592476442,7.13422038345129,"12620085701",node,18.75,pharmacy,pharmacy,Rose Pharmacy,,,,,,,,,,,yes,,,,,,,,,,Surigao-Davao Coastal Road,,,162999004,2,2025/02/27 06:50:09+00,cbb5fea60c21482e9dd72a3e98d34aa8
,,"397924011",way,15.625,pharmacy,pharmacy,Mercury Drug,,,,,,,,,,,,,,,,,,,,,Cebu North Road,,,135448266,3,2023/04/28 02:05:56+00,fe51a26a75cf4eaf84ab13e2d9e48dfa
121.050496088495,14.4424778681192,"12624259604",node,9.375,pharmacy,,,,,,,,,,,,,,,,,,,,,,,M. L. Quezon Street,,,163030309,1,2025/02/27 22:12:50+00,dcfd508b1efd42b4998e5b62108159ce
121.05058225446,14.4422534845712,"9865966998",node,18.75,pharmacy,pharmacy,TGP,,,,,,,,,,,yes,,,,,,,,,,M. L. Quezon Street,,,163030309,3,2025/02/27 22:12:50+00,0b39e677df66407293602afe4459397b
,,"398141688",way,18.75,hospital,,Bauan Doctor's Hospital,,,,,,,,,,,,,,,,,,,,,F. Mangobos,"4201",Bauan,69438655,2,2019/04/22 02:52:02+00,60d5185adc184be5911dca73fda6a0a8
121.698437236557,16.5695745588579,"12626132923",node,12.5,pharmacy,pharmacy,Respicio Farmacia,,,,,,,,,,,,,,,,,,,,,,,,163063239,1,2025/02/28 17:42:45+00,f9d10e1b72644260adab814eb3efaa29
122.846361926403,7.36524432655742,"12626776698",node,18.75,hospital,hospital,Olutanga Municipal Hospital,Municipality of Olutanga,,,government,,,,,,,,,,,,,,,,,,,,163073411,1,2025/03/01 00:48:03+00,946a9f9d1dcd496192190892c6fafe1a
125.361899479531,6.74297585826923,"12628073511",node,9.375,,laboratory,Ultra Lab X Diagnostic Center,,,,,,,,,,,,,,,,,,,,,,,,163080851,1,2025/03/01 09:34:10+00,205f1bf952d7422382e236637d294416
125.361681633868,6.74300377000679,"12628072700",node,12.5,pharmacy,pharmacy,Amico Drug,,,,,,,,,,,,,,,,,,,,,,,,163080851,1,2025/03/01 09:34:10+00,a8cb296124d1446a957efe95d1f2bae5
125.361617596128,6.74300863151063,"12628072699",node,12.5,pharmacy,pharmacy,Med Pharma,,,,,,,,,,,,,,,,,,,,,,,,163080851,1,2025/03/01 09:34:10+00,9c2565ed2e074a1782997c44779a727d
125.361861341872,6.74513587471705,"12628182316",node,12.5,pharmacy,pharmacy,AllCare Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,163084072,1,2025/03/01 11:21:05+00,883cb52e50164286b92999e4dff40839
125.362189158105,6.74511994910102,"12628182320",node,12.5,pharmacy,pharmacy,Farmacia Ni Doc,,,,,,,,,,,,,,,,,,,,,,,,163084072,1,2025/03/01 11:21:05+00,db913fe1e7c54663b0cee7a9a6df0b1f
